Ticker Symbol,Fund Name
FAAR,First Trust Alternative Absolute Return Strategy ETF
FPA,First Trust Asia Pacific ex-Japan AlphaDEX® Fund
FBZ,First Trust Brazil AlphaDEX® Fund
FCAN,First Trust Canada AlphaDEX® Fund
FCEF,First Trust CEF Income Opportunity ETF
FNI,First Trust Chindia ETF
SKYY,First Trust Cloud Computing ETF
FXD,First Trust Consumer Discretionary AlphaDEX® Fund
FXG,First Trust Consumer Staples AlphaDEX® Fund
FV,First Trust Dorsey Wright Focus 5 ETF
FDN,First Trust Dow Jones Internet Index Fund
FXN,First Trust Energy AlphaDEX® Fund
FTSM,First Trust Enhanced Short Maturity ETF
FXO,First Trust Financials AlphaDEX® Fund
FGM,First Trust Germany AlphaDEX® Fund
FLM,First Trust Global Engineering and Construction ETF
FTGC,First Trust Global Tactical Commodity Strategy Fund
FAN,First Trust Global Wind Energy ETF
FXH,First Trust Health Care AlphaDEX® Fund
HDMV,First Trust Horizon Managed Volatility Developed International ETF
FXR,First Trust Industrials/Producer Durables AlphaDEX® Fund
FTAG,First Trust Indxx Global Agriculture ETF
FTRI,First Trust Indxx Global Natural Resources Income ETF
FPEI,First Trust Institutional Preferred Securities and Income ETF
FLN,First Trust Latin America AlphaDEX® Fund
LMBS,First Trust Low Duration Opportunities ETF
FMB,First Trust Managed Municipal ETF
FXZ,First Trust Materials AlphaDEX® Fund
MCEF,First Trust Municipal CEF Income Opportunity ETF
FTXO,First Trust Nasdaq Bank ETF
CIBR,First Trust Nasdaq Cybersecurity ETF
FTXG,First Trust Nasdaq Food & Beverage ETF
CARZ,First Trust NASDAQ Global Auto Index Fund
FTXN,First Trust Nasdaq Oil & Gas ETF
FTXH,First Trust Nasdaq Pharmaceuticals ETF
FTXD,First Trust Nasdaq Retail ETF
FTXL,First Trust Nasdaq Semiconductor ETF
FONE,First Trust Nasdaq Smartphone Index Fund
TDIV,First Trust NASDAQ Technology Dividend Index Fund
FTXR,First Trust Nasdaq Transportation ETF
QABA,First Trust NASDAQ® ABA Community Bank Index Fund
QCLN,First Trust NASDAQ® Clean Edge® Green Energy Index Fund
GRID,First Trust NASDAQ® Clean Edge® Smart Grid Infrastructure Index Fund
QTEC,First Trust NASDAQ-100-Technology Sector Index Fund
FCG,First Trust Natural Gas ETF
EMLP,First Trust North American Energy Infrastructure Fund
FBT,First Trust NYSE Arca Biotechnology Index Fund
FPE,First Trust Preferred Securities and Income ETF
AIRR,First Trust RBA American Industrial Renaissance® ETF
RFAP,First Trust RiverFront Dynamic Asia Pacific ETF
RFDI,First Trust RiverFront Dynamic Developed International ETF
RFEM,First Trust RiverFront Dynamic Emerging Markets ETF
FTSL,First Trust Senior Loan Fund
FKO,First Trust South Korea AlphaDEX® Fund
FCVT,First Trust SSI Strategic Convertible Securities ETF
FSZ,First Trust Switzerland AlphaDEX® Fund
HYLS,First Trust Tactical High Yield ETF
FXL,First Trust Technology AlphaDEX® Fund
FXU,First Trust Utilities AlphaDEX® Fund
FVL,First Trust Value Line® 100 Exchange-Traded Fund
FIW,First Trust Water ETF
SHYG,iShares 0-5 Year High Yield Corporate Bond ETF
STIP,iShares 0-5 Year TIPS Bond ETF
AGZ,iShares Agency Bond ETF
ILTB,iShares Core 10+ Year USD Bond ETF
IAGG,iShares Core International Aggregate Bond ETF
IEUR,iShares Core MSCI Europe ETF
IPAC,iShares Core MSCI Pacific ETF
USRT,iShares Core U.S. REIT ETF
HEZU,iShares Currency Hedged MSCI Eurozone ETF
HEWJ,iShares Currency Hedged MSCI Japan ETF
IMTM,iShares Edge MSCI Intl Momentum Factor ETF
IQLT,iShares Edge MSCI Intl Quality Factor ETF
ACWV,iShares Edge MSCI Min Vol Global ETF
ACWF,iShares Edge MSCI Multifactor Global ETF
MTUM,iShares Edge MSCI USA Momentum Factor ETF
QUAL,iShares Edge MSCI USA Quality Factor ETF
EMHY,iShares Emerging Markets High Yield Bond ETF
FALN,iShares Fallen Angels USD Bond ETF
FLOT,iShares Floating Rate Bond ETF
REET,iShares Global REIT ETF
IFGL,iShares International Developed Real Estate ETF
IPFF,iShares International Preferred Stock ETF
CEMB,iShares J.P. Morgan EM Corporate Bond ETF
LEMB,iShares J.P. Morgan EM Local Currency Bond ETF
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF
IYLD,iShares Morningstar Multi-Asset Income ETF
MCHI,iShares MSCI China ETF
ESGD,iShares MSCI EAFE ESG Optimized ETF
ESGE,iShares MSCI EM ESG Optimized ETF
EZU,iShares MSCI Eurozone ETF
ERUS,iShares MSCI Russia Capped ETF
ESGU,iShares MSCI USA ESG Optimized ETF
NEAR,iShares Short Maturity Bond ETF
MEAR,iShares Short Maturity Municipal Bond ETF
SUB,iShares Short-Term National Muni Bond ETF
GOVT,iShares U.S. Treasury Bond ETF
JPHY,JPMorgan Disciplined High Yield ETF
JPHF,JPMorgan Diversified Alternatives ETF
JPGE,JPMorgan Diversified Return Global Equity ETF
JPGB,JPMorgan Global Bond Opportunities ETF
JPST,JPMorgan Ultra-Short Income ETF
PSMB,PowerShares Balanced Multi-Asset Allocation Portfolio
PCEF,PowerShares CEF Income Composite Portfolio
PSMC,PowerShares Conservative Multi-Asset Allocation Portfolio
DBA,PowerShares DB Agriculture Fund
PDP,PowerShares DWA Momentum Portfolio
DWIN,PowerShares DWA Tactical Multi-Asset Income Portfolio
PJP,PowerShares Dynamic Pharmaceuticals Portfolio
PGF,PowerShares Financial Preferred Portfolio
PXH,PowerShares FTSE RAFI Emerging Markets Portfolio
PRF,PowerShares FTSE RAFI US 1000 Portfolio
